alert_id,timestamp,scope,track_id,level,current_zone,inspection_priority,message,recommendation,audio_localized,disclaimer
alert-42287812,25.0,TRACK,102,ALERT,ZONE_2,76.8495,Track #102 in ZONE_2 exhibits persistent behavioral deviation (76.8/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-42b91de1,30.0,TRACK,102,ALERT,ZONE_2,76.5495,Track #102 in ZONE_2 exhibits persistent behavioral deviation (76.5/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-b5a5ae3c,50.0,TRACK,55,WATCH,ZONE_1,62.24975,Track #55 in ZONE_1 exhibits persistent behavioral deviation (62.2/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-c99837fb,55.0,TRACK,55,WATCH,ZONE_1,65.29975,Track #55 in ZONE_1 exhibits persistent behavioral deviation (65.3/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-c09de0e0,60.0,TRACK,55,WATCH,ZONE_1,65.04975,Track #55 in ZONE_1 exhibits persistent behavioral deviation (65.0/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-81f44f72,65.0,TRACK,55,WATCH,ZONE_1,60.84975,Track #55 in ZONE_1 exhibits persistent behavioral deviation (60.8/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-e2dfa9de,70.0,TRACK,55,WATCH,ZONE_1,52.14975,Track #55 in ZONE_1 exhibits persistent behavioral deviation (52.1/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-fb503e93,102.0,TRACK,301,ALERT,ZONE_3,79.09575384615385,Track #301 in ZONE_3 shows alert-level behavioural deviation (79.1/100) temporally and spatially associated with localized acoustic anomaly.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",True,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-ebb37b11,102.0,TRACK,302,WATCH,ZONE_1,64.09575384615384,Track #302 in ZONE_1 shows watch-level behavioural deviation (64.1/100) temporally and spatially associated with localized acoustic anomaly.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,True,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-f0b3cc38,1789500788.170177,TRACK,17,ALERT,ZONE_2,75.7494,Track #17 in ZONE_2 exhibits persistent behavioral deviation (75.7/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-efdfdd83,1789501787.511861,TRACK,17,ALERT,ZONE_3,75.7494,Track #17 in ZONE_3 exhibits persistent behavioral deviation (75.7/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-12e70236,1789501787.5166464,TRACK,17,ALERT,ZONE_2,79.9994,Track #17 in ZONE_2 exhibits persistent behavioral deviation (80.0/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-cbf187fe,1789501917.159666,TRACK,24,WATCH,ZONE_3,63.7496,Track #24 in ZONE_3 exhibits persistent behavioral deviation (63.7/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-dee472d4,1789502357.8576586,TRACK,17,WATCH,ZONE_3,54.0995,Track #17 in ZONE_3 exhibits persistent behavioral deviation (54.1/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-371df7f8,1789502357.8576586,TRACK,17,WATCH,ZONE_3,65.14935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (65.1/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-5768e3c7,1789502357.864695,TRACK,17,WATCH,ZONE_2,69.79939999999999,Track #17 in ZONE_2 exhibits persistent behavioral deviation (69.8/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-76157be5,1789502499.298431,TRACK,17,WATCH,ZONE_3,54.0995,Track #17 in ZONE_3 exhibits persistent behavioral deviation (54.1/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-76def528,1789502499.298431,TRACK,17,WATCH,ZONE_3,65.14935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (65.1/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-9fe16d08,1789502499.3053813,TRACK,17,WATCH,ZONE_2,69.79939999999999,Track #17 in ZONE_2 exhibits persistent behavioral deviation (69.8/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-a67b1382,1789502582.540938,TRACK,17,WATCH,ZONE_3,54.0995,Track #17 in ZONE_3 exhibits persistent behavioral deviation (54.1/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-fdea0d7a,1789502582.540938,TRACK,17,WATCH,ZONE_3,65.14935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (65.1/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-4ee4390b,1789502582.547819,TRACK,17,WATCH,ZONE_2,69.79939999999999,Track #17 in ZONE_2 exhibits persistent behavioral deviation (69.8/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-8dfd0c65,1789503130.1416366,TRACK,17,WATCH,ZONE_3,45.949349999999995,Track #17 in ZONE_3 exhibits persistent behavioral deviation (45.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-9f7d9fc9,1789503132.1416366,TRACK,17,WATCH,ZONE_3,59.29935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (59.3/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-bb821888,1789503128.148713,TRACK,17,WATCH,ZONE_2,67.9493,Track #17 in ZONE_2 exhibits persistent behavioral deviation (67.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-fdd232cb,1789503307.3750596,TRACK,17,WATCH,ZONE_3,45.949349999999995,Track #17 in ZONE_3 exhibits persistent behavioral deviation (45.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-f81ccb02,1789503309.3750596,TRACK,17,WATCH,ZONE_3,59.29935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (59.3/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-c281e543,1789503305.3819628,TRACK,17,WATCH,ZONE_2,67.9493,Track #17 in ZONE_2 exhibits persistent behavioral deviation (67.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-9c95ac13,1789503848.7267118,TRACK,17,WATCH,ZONE_3,57.79935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (57.8/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-1bf9422a,1789503851.4597745,TRACK,17,WATCH,ZONE_3,52.74935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (52.7/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-4d9548d9,1789503853.4597745,TRACK,17,WATCH,ZONE_3,64.59935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (64.6/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-b5f32132,1789503855.3558536,TRACK,17,ALERT,ZONE_2,70.7493,Track #17 in ZONE_2 exhibits persistent behavioral deviation (70.7/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-15854155,1789503878.2017322,TRACK,17,WATCH,ZONE_3,48.064076923076925,Track #17 in ZONE_3 shows watch-level behavioural deviation (48.1/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-c093f965,1789503884.1339846,TRACK,17,WATCH,ZONE_3,54.730657692307695,Track #17 in ZONE_3 shows watch-level behavioural deviation (54.7/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-8ef57175,1789503886.1339846,TRACK,17,WATCH,ZONE_3,65.36238076923077,Track #17 in ZONE_3 shows watch-level behavioural deviation (65.4/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-c9f0e3e6,1789503888.1339846,TRACK,17,ALERT,ZONE_3,77.62167307692307,Track #17 in ZONE_3 shows alert-level behavioural deviation (77.6/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-d7f7556d,1789503902.1155052,TRACK,17,ALERT,ZONE_2,84.59046923076923,Track #17 in ZONE_2 shows alert-level behavioural deviation (84.6/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-e34574a9,1789503975.881167,TRACK,17,WATCH,ZONE_3,45.949349999999995,Track #17 in ZONE_3 exhibits persistent behavioral deviation (45.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-11a3b6d1,1789503977.881167,TRACK,17,WATCH,ZONE_3,59.29935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (59.3/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-613b1762,1789503976.39443,TRACK,17,WATCH,ZONE_2,67.9493,Track #17 in ZONE_2 exhibits persistent behavioral deviation (67.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-a171cd53,1789506323.4579763,TRACK,17,WATCH,ZONE_3,45.949349999999995,Track #17 in ZONE_3 exhibits persistent behavioral deviation (45.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-710280d6,1789506325.4579763,TRACK,17,WATCH,ZONE_3,59.29935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (59.3/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-1d996b2e,1789506323.9748402,TRACK,17,WATCH,ZONE_2,67.9493,Track #17 in ZONE_2 exhibits persistent behavioral deviation (67.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-12fec540,1789526045.3492756,TRACK,17,WATCH,ZONE_3,45.949349999999995,Track #17 in ZONE_3 exhibits persistent behavioral deviation (45.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-37f2af30,1789526047.3492756,TRACK,17,WATCH,ZONE_3,59.29935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (59.3/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-eb9c0704,1789526045.862335,TRACK,17,WATCH,ZONE_2,67.9493,Track #17 in ZONE_2 exhibits persistent behavioral deviation (67.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-0234c8a4,1789527399.1910355,TRACK,17,WATCH,ZONE_3,45.949349999999995,Track #17 in ZONE_3 exhibits persistent behavioral deviation (45.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-6e9c129d,1789527401.1910355,TRACK,17,WATCH,ZONE_3,59.29935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (59.3/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-7493c765,1789527399.7028458,TRACK,17,WATCH,ZONE_2,67.9493,Track #17 in ZONE_2 exhibits persistent behavioral deviation (67.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-4cdbdc15,1789527439.6361477,TRACK,17,WATCH,ZONE_3,45.949349999999995,Track #17 in ZONE_3 exhibits persistent behavioral deviation (45.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-9f179041,1789527441.6361477,TRACK,17,WATCH,ZONE_3,59.29935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (59.3/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-ac834d58,1789527440.1477487,TRACK,17,WATCH,ZONE_2,67.9493,Track #17 in ZONE_2 exhibits persistent behavioral deviation (67.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-048d088a,1789527816.5539942,TRACK,17,WATCH,ZONE_3,45.674046153846156,Track #17 in ZONE_3 shows watch-level behavioural deviation (45.7/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-ce7d716c,1789527817.68367,TRACK,17,WATCH,ZONE_3,53.23688846153846,Track #17 in ZONE_3 shows watch-level behavioural deviation (53.2/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-602605c9,1789527819.68367,TRACK,17,WATCH,ZONE_3,64.36653461538462,Track #17 in ZONE_3 shows watch-level behavioural deviation (64.4/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-2fe80282,1789527821.68367,TRACK,17,ALERT,ZONE_3,77.02416538461539,Track #17 in ZONE_3 shows alert-level behavioural deviation (77.0/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-99f0177c,1789527818.9063258,TRACK,17,ALERT,ZONE_2,84.19213076923076,Track #17 in ZONE_2 shows alert-level behavioural deviation (84.2/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-82e0b1ed,1789527819.6019256,TRACK,17,ALERT,ZONE_2,88.77468461538461,Track #17 in ZONE_2 shows alert-level behavioural deviation (88.8/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-626d1cd3,1789527828.223058,TRACK,17,WATCH,ZONE_3,45.949349999999995,Track #17 in ZONE_3 exhibits persistent behavioral deviation (45.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-0518f27c,1789527830.223058,TRACK,17,WATCH,ZONE_3,59.29935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (59.3/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-727014ee,1789527828.736313,TRACK,17,WATCH,ZONE_2,67.9493,Track #17 in ZONE_2 exhibits persistent behavioral deviation (67.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-c039a8ec,1789527844.5945902,TRACK,17,WATCH,ZONE_3,45.949349999999995,Track #17 in ZONE_3 exhibits persistent behavioral deviation (45.9/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-3bf3913a,1789527846.5945902,TRACK,17,WATCH,ZONE_3,59.29935,Track #17 in ZONE_3 exhibits persistent behavioral deviation (59.3/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
