filepath,filename,label,mapped_class,group_id,duration_seconds,sample_rate
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/46.wav,46.wav,Healthy,NORMAL,Healthy_block_06,12.9101,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/47.wav,47.wav,Healthy,NORMAL,Healthy_block_06,35.6927,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/48.wav,48.wav,Healthy,NORMAL,Healthy_block_06,21.2638,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/49.wav,49.wav,Healthy,NORMAL,Healthy_block_06,28.0986,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/85.wav,85.wav,Healthy,NORMAL,Healthy_block_12,35.7506,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/86.wav,86.wav,Healthy,NORMAL,Healthy_block_12,16.7343,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/87.wav,87.wav,Healthy,NORMAL,Healthy_block_12,9.8885,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/88.wav,88.wav,Healthy,NORMAL,Healthy_block_12,41.5464,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/89.wav,89.wav,Healthy,NORMAL,Healthy_block_12,27.9494,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/90.wav,90.wav,Healthy,NORMAL,Healthy_block_12,23.4171,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/91.wav,91.wav,Healthy,NORMAL,Healthy_block_12,23.4171,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/120.wav,120.wav,Healthy,NORMAL,Healthy_block_17,20.4129,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/121.wav,121.wav,Healthy,NORMAL,Healthy_block_17,64.2627,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/122.wav,122.wav,Healthy,NORMAL,Healthy_block_17,20.4129,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/123.wav,123.wav,Healthy,NORMAL,Healthy_block_17,324.5267,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/124.wav,124.wav,Healthy,NORMAL,Healthy_block_17,906.2005,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/125.wav,125.wav,Healthy,NORMAL,Healthy_block_17,12.3003,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/126.wav,126.wav,Healthy,NORMAL,Healthy_block_17,12.3003,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/71.wav,71.wav,Healthy,NORMAL,Healthy_block_10,90.5175,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/72.wav,72.wav,Healthy,NORMAL,Healthy_block_10,15.213,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/73.wav,73.wav,Healthy,NORMAL,Healthy_block_10,24.3408,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/74.wav,74.wav,Healthy,NORMAL,Healthy_block_10,15.213,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/75.wav,75.wav,Healthy,NORMAL,Healthy_block_10,31.9474,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/76.wav,76.wav,Healthy,NORMAL,Healthy_block_10,19.0163,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/77.wav,77.wav,Healthy,NORMAL,Healthy_block_10,15.9737,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/10.wav,10.wav,Healthy,NORMAL,Healthy_block_01,37.8984,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/11.wav,11.wav,Healthy,NORMAL,Healthy_block_01,20.7539,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/12.wav,12.wav,Healthy,NORMAL,Healthy_block_01,18.2685,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/13.wav,13.wav,Healthy,NORMAL,Healthy_block_01,11.8746,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/14.wav,14.wav,Healthy,NORMAL,Healthy_block_01,17.3551,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/8.wav,8.wav,Healthy,NORMAL,Healthy_block_01,25.2656,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/9.wav,9.wav,Healthy,NORMAL,Healthy_block_01,15.3398,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/78.wav,78.wav,Healthy,NORMAL,Healthy_block_11,11.4098,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/79.wav,79.wav,Healthy,NORMAL,Healthy_block_11,6.8459,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/80.wav,80.wav,Healthy,NORMAL,Healthy_block_11,6.0852,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/81.wav,81.wav,Healthy,NORMAL,Healthy_block_11,14.4524,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/82.wav,82.wav,Healthy,NORMAL,Healthy_block_11,12.9311,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/83.wav,83.wav,Healthy,NORMAL,Healthy_block_11,11.4098,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/84.wav,84.wav,Healthy,NORMAL,Healthy_block_11,25.8621,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/15.wav,15.wav,Healthy,NORMAL,Healthy_block_02,13.7014,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/16.wav,16.wav,Healthy,NORMAL,Healthy_block_02,11.8746,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/17.wav,17.wav,Healthy,NORMAL,Healthy_block_02,11.8746,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/18.wav,18.wav,Healthy,NORMAL,Healthy_block_02,12.788,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/19.wav,19.wav,Healthy,NORMAL,Healthy_block_02,14.6148,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/20.wav,20.wav,Healthy,NORMAL,Healthy_block_02,23.7491,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/21.wav,21.wav,Healthy,NORMAL,Healthy_block_02,34.7102,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/113.wav,113.wav,Healthy,NORMAL,Healthy_block_16,9.0724,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/114.wav,114.wav,Healthy,NORMAL,Healthy_block_16,12.0965,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/115.wav,115.wav,Healthy,NORMAL,Healthy_block_16,16.6327,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/116.wav,116.wav,Healthy,NORMAL,Healthy_block_16,29.4852,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/117.wav,117.wav,Healthy,NORMAL,Healthy_block_16,9.8284,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/118.wav,118.wav,Healthy,NORMAL,Healthy_block_16,11.3405,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/119.wav,119.wav,Healthy,NORMAL,Healthy_block_16,21.9249,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/50.wav,50.wav,Healthy,NORMAL,Healthy_block_07,85.0551,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/51.wav,51.wav,Healthy,NORMAL,Healthy_block_07,26.5797,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/52.wav,52.wav,Healthy,NORMAL,Healthy_block_07,20.5043,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/53.wav,53.wav,Healthy,NORMAL,Healthy_block_07,31.1362,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/54.wav,54.wav,Healthy,NORMAL,Healthy_block_07,10.6319,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/55.wav,55.wav,Healthy,NORMAL,Healthy_block_07,88.7624,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/56.wav,56.wav,Healthy,NORMAL,Healthy_block_07,49.3125,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/57.wav,57.wav,Healthy,NORMAL,Healthy_block_08,22.7596,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/58.wav,58.wav,Healthy,NORMAL,Healthy_block_08,37.9327,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/59.wav,59.wav,Healthy,NORMAL,Healthy_block_08,24.2769,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/60.wav,60.wav,Healthy,NORMAL,Healthy_block_08,25.7942,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/61.wav,61.wav,Healthy,NORMAL,Healthy_block_08,64.4855,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/62.wav,62.wav,Healthy,NORMAL,Healthy_block_08,21.2423,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/63.wav,63.wav,Healthy,NORMAL,Healthy_block_08,21.2423,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/1.wav,1.wav,Healthy,NORMAL,Healthy_block_00,14.5101,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/2.wav,2.wav,Healthy,NORMAL,Healthy_block_00,27.0703,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/3.wav,3.wav,Healthy,NORMAL,Healthy_block_00,27.9726,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/4.wav,4.wav,Healthy,NORMAL,Healthy_block_00,20.7539,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/5.wav,5.wav,Healthy,NORMAL,Healthy_block_00,24.3633,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/6.wav,6.wav,Healthy,NORMAL,Healthy_block_00,35.1914,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/7.wav,7.wav,Healthy,NORMAL,Healthy_block_00,7.2187,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/22.wav,22.wav,Healthy,NORMAL,Healthy_block_03,17.3551,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/23.wav,23.wav,Healthy,NORMAL,Healthy_block_03,19.182,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/24.wav,24.wav,Healthy,NORMAL,Healthy_block_03,10.9611,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/25.wav,25.wav,Healthy,NORMAL,Healthy_block_03,32.8834,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/26.wav,26.wav,Healthy,NORMAL,Healthy_block_03,25.576,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/27.wav,27.wav,Healthy,NORMAL,Healthy_block_03,17.3551,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/28.wav,28.wav,Healthy,NORMAL,Healthy_block_03,25.576,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/15.wav,15.wav,Noise,NOISE,Noise_block_02,59.5641,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/16.wav,16.wav,Noise,NOISE,Noise_block_02,58.0103,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/17.wav,17.wav,Noise,NOISE,Noise_block_02,37.2923,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/18.wav,18.wav,Noise,NOISE,Noise_block_02,52.8308,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/19.wav,19.wav,Noise,NOISE,Noise_block_02,32.128,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/20.wav,20.wav,Noise,NOISE,Noise_block_02,67.3651,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/21.wav,21.wav,Noise,NOISE,Noise_block_02,30.5734,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/29.wav,29.wav,Noise,NOISE,Noise_block_04,7.725,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/30.wav,30.wav,Noise,NOISE,Noise_block_04,13.39,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/31.wav,31.wav,Noise,NOISE,Noise_block_04,9.785,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/32.wav,32.wav,Noise,NOISE,Noise_block_04,19.055,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/33.wav,33.wav,Noise,NOISE,Noise_block_04,4.635,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/34.wav,34.wav,Noise,NOISE,Noise_block_04,28.915,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/35.wav,35.wav,Noise,NOISE,Noise_block_04,86.4869,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/50.wav,50.wav,Noise,NOISE,Noise_block_07,26.2063,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/51.wav,51.wav,Noise,NOISE,Noise_block_07,2.6345,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/52.wav,52.wav,Noise,NOISE,Noise_block_07,7.7648,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/53.wav,53.wav,Noise,NOISE,Noise_block_07,7.4875,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/54.wav,54.wav,Noise,NOISE,Noise_block_07,18.5801,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/55.wav,55.wav,Noise,NOISE,Noise_block_07,32.8618,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/56.wav,56.wav,Noise,NOISE,Noise_block_07,27.0382,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/78.wav,78.wav,Noise,NOISE,Noise_block_11,22.7568,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/79.wav,79.wav,Noise,NOISE,Noise_block_11,18.2055,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/80.wav,80.wav,Noise,NOISE,Noise_block_11,52.3407,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/81.wav,81.wav,Noise,NOISE,Noise_block_11,40.9622,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/82.wav,82.wav,Noise,NOISE,Noise_block_11,61.3839,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/83.wav,83.wav,Noise,NOISE,Noise_block_11,31.8287,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/84.wav,84.wav,Noise,NOISE,Noise_block_11,54.5635,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/43.wav,43.wav,Noise,NOISE,Noise_block_06,29.6559,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/44.wav,44.wav,Noise,NOISE,Noise_block_06,55.9594,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Noise/45.wav,45.wav,Noise,NOISE,Noise_block_06,52.3491,48000
