filepath,filename,parent_folder,original_class,mapped_class,duration_seconds,sample_rate,channels,extension,file_size_bytes,sha256,recording_group,validity_status
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/110.wav,110.wav,Healthy,Healthy,NORMAL,11.3405,48000,1,.wav,1088912,0a8e0a467b44e6aebc1ef74379166de98cf6191d17538d526eb7cb6b16bcae1f,Healthy_110,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/111.wav,111.wav,Healthy,Healthy,NORMAL,34.7774,48000,1,.wav,3338862,5add380521b06fe621534f96cd5dc12f06268eccf39de11652452d4f558f06df,Healthy_111,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/112.wav,112.wav,Healthy,Healthy,NORMAL,8.3164,48000,1,.wav,798598,ad72d72cef7014971fac51e4187a18b69ef8d485821e433fb6f61a35ceb17d09,Healthy_112,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/113.wav,113.wav,Healthy,Healthy,NORMAL,9.0724,48000,1,.wav,871176,e1b6b6f8d130ac0e9fe42ac21218dd1f12e1a94b00da8cd5c3ea219a90b47c48,Healthy_113,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/114.wav,114.wav,Healthy,Healthy,NORMAL,12.0965,48000,1,.wav,1161492,092bd09bbba13d17760aa7c339bf668e8135b3326354614c02e24650d0890feb,Healthy_114,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/115.wav,115.wav,Healthy,Healthy,NORMAL,16.6327,48000,1,.wav,1596966,04fbce86d74b6bb4fadc187fe167877d5f5cff18a9fb4c030dee79443f45997a,Healthy_115,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/116.wav,116.wav,Healthy,Healthy,NORMAL,29.4852,48000,1,.wav,2830810,cf3f311028f8080976fd5d59c2f43065419476ecb8ac8971609e56b4db4427f7,Healthy_116,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/117.wav,117.wav,Healthy,Healthy,NORMAL,9.8284,48000,1,.wav,943754,42cb01e7b34855aa0ee13cad212d6a52742f204c247305134895524af29d597a,Healthy_117,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/118.wav,118.wav,Healthy,Healthy,NORMAL,11.3405,48000,1,.wav,1088912,9732b51bfe9fa51bdcb91a494a0d0c38ec1c6eb8aeddc5afda65323f36bba7ba,Healthy_118,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/119.wav,119.wav,Healthy,Healthy,NORMAL,21.9249,48000,1,.wav,2105018,391797394e538cd1f2f2440a6017ae5343965c0a69ae3ffe6222bd3d489b03cc,Healthy_119,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/12.wav,12.wav,Healthy,Healthy,NORMAL,18.2685,48000,1,.wav,1754008,ae4ea408318d02ffa1e6f9a46aea3d33b66b55c676c3f341297cd595d221e6c8,Healthy_12,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/120.wav,120.wav,Healthy,Healthy,NORMAL,20.4129,48000,1,.wav,1959862,e59e095d0ef0c90a99e03ad5fc4cf170d882c22963fbf0830b755c00c929d288,Healthy_120,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/121.wav,121.wav,Healthy,Healthy,NORMAL,64.2627,48000,1,.wav,6169444,8f7e2516d8017364f149b7279542868abe0b8eb647eb1b1d217cfd85c7232908,Healthy_121,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/122.wav,122.wav,Healthy,Healthy,NORMAL,20.4129,48000,1,.wav,1959862,e844366e872426c37553930090d0663f05bb35a603816aec9bdc8f0613fefc0f,Healthy_122,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/123.wav,123.wav,Healthy,Healthy,NORMAL,324.5267,48000,1,.wav,31154696,57ad5e113b5dc61c7d7bdc4950b80d307f0942aa39ca2f7ca4b7b26d212a7e8e,Healthy_123,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/124.wav,124.wav,Healthy,Healthy,NORMAL,906.2005,48000,1,.wav,86995384,68fd340f82efda00a7e429582043ca6ea998ddfd0f70b33a8590a222f2f42892,Healthy_124,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/125.wav,125.wav,Healthy,Healthy,NORMAL,12.3003,48000,1,.wav,1180968,2526aa6050c924b5ae68d4e03d552d775ebfebd3bd152f1b3631369fa33fdc09,Healthy_125,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/126.wav,126.wav,Healthy,Healthy,NORMAL,12.3003,48000,1,.wav,1180968,7f3fa138069d187d075d6677187c6722f9842e98a2cdd1574a07b2df100d1996,Healthy_126,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/127.wav,127.wav,Healthy,Healthy,NORMAL,9.6646,48000,1,.wav,927934,d97a6c97b1a4a1971640b04ca8556ef9c36dc49cab214a8db8e5a29129d71120,Healthy_127,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/128.wav,128.wav,Healthy,Healthy,NORMAL,14.9361,48000,1,.wav,1434006,8f77048fd07cf7b39f7cbddd25a699eb37005a4d72abc7b2509fd82485648dc7,Healthy_128,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/129.wav,129.wav,Healthy,Healthy,NORMAL,14.0575,48000,1,.wav,1349660,6abff7d4ca3a0ba3654fb5b20371b5de10a7802f9c072741f341d9409e4da12b,Healthy_129,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/13.wav,13.wav,Healthy,Healthy,NORMAL,11.8746,48000,1,.wav,1140186,bc9a9cb2824946419c68b26510159f9f3a3c8bea89debbce05010abc11f8096c,Healthy_13,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/130.wav,130.wav,Healthy,Healthy,NORMAL,24.787,48000,1,.wav,2379686,5f4d6e43671bf66103f16d4f4e3a833040529c7dc0de306302e647bd25b800b4,Healthy_130,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/131.wav,131.wav,Healthy,Healthy,NORMAL,20.3608,48000,1,.wav,1954768,4db00f077606e2d4386cacc6ac12be6b1ae39a24f823e4c8f61b7431290c5b74,Healthy_131,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/132.wav,132.wav,Healthy,Healthy,NORMAL,53.115,48000,1,.wav,5099176,df83ee4aa40dd47dc242b687c0ec14c129820c5945deb4b84182c1228a7cffc9,Healthy_132,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/133.wav,133.wav,Healthy,Healthy,NORMAL,11.5083,48000,1,.wav,1104926,3b4a405f2893b5651efb73886c002708d82eb9efa23fac8a16c7320069b4b2c7,Healthy_133,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/134.wav,134.wav,Healthy,Healthy,NORMAL,39.8244,48000,1,.wav,3823280,bb4adfaf4f5c5003f53f7894bbbe115b6313bcc16aed651d458fe68bb2d75515,Healthy_134,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/135.wav,135.wav,Healthy,Healthy,NORMAL,36.4109,48000,1,.wav,3495582,37346628d4cd70c0e3b1ace140e3fc7a809a66239de9a0a771d10f530b0bea74,Healthy_135,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/136.wav,136.wav,Healthy,Healthy,NORMAL,64.8569,48000,1,.wav,6226398,4818c6a96f2fa6c2f93f3817a1085fcd5d66a5b975a4c08c886affef41a46b83,Healthy_136,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/137.wav,137.wav,Healthy,Healthy,NORMAL,13.6541,48000,1,.wav,1310928,35823360d598eb0f215e0d30875ccc7164b4e8abebd0a52480253deb3b35fb3e,Healthy_137,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/138.wav,138.wav,Healthy,Healthy,NORMAL,45.5136,48000,1,.wav,4369444,ab17b1fe7eb598c235910e93d8ce69a04802b710790bff92b0ea0e9689b4f13c,Healthy_138,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/139.wav,139.wav,Healthy,Healthy,NORMAL,21.5643,48000,1,.wav,2070312,0c085b8447b2e91c114a4061daabe822a2ad212a20dbfbcf55db9bdd31efd247,Healthy_139,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/14.wav,14.wav,Healthy,Healthy,NORMAL,17.3551,48000,1,.wav,1666318,1fff004f46038d42eba62db138c7d034f3ffb3b7694409d782edac183d22311b,Healthy_14,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/15.wav,15.wav,Healthy,Healthy,NORMAL,13.7014,48000,1,.wav,1315564,5d3b29d47a2fb913a7df06504441cf5bb6fdb5987a57a1034b26a0cc825bf9ed,Healthy_15,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/16.wav,16.wav,Healthy,Healthy,NORMAL,11.8746,48000,1,.wav,1140186,a10641e4a8b81400d4b29caef0d7b8fbd39a6c75dfa404b2df7030358b3e2ec9,Healthy_16,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/17.wav,17.wav,Healthy,Healthy,NORMAL,11.8746,48000,1,.wav,1140186,a3451974ac09d07a358f8f1d69e8c61eab7e9cbc98e0b57354440af1e3884c7b,Healthy_17,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/18.wav,18.wav,Healthy,Healthy,NORMAL,12.788,48000,1,.wav,1227874,5d63b2d3d83f3cf0f63b34c6591821a2711879f64f3917657dd1b22a86089bf9,Healthy_18,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/19.wav,19.wav,Healthy,Healthy,NORMAL,14.6148,48000,1,.wav,1403252,afd09d0a2c4c1b1d8f5381070db0c502aade9e65df06202536e0c2e68d346796,Healthy_19,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/2.wav,2.wav,Healthy,Healthy,NORMAL,27.0703,48000,1,.wav,2598974,b7bae05f356a3c20dd42943dcdcd538d44b9a4339184dc43a5bf2c89cd07705e,Healthy_2,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/20.wav,20.wav,Healthy,Healthy,NORMAL,23.7491,48000,1,.wav,2280142,12dc34308b628e7a76e014e514d65c9aab08600d31d800d414d3dddfd2804f05,Healthy_20,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/21.wav,21.wav,Healthy,Healthy,NORMAL,34.7102,48000,1,.wav,3332410,b3439bafc7afeebb1d4295cff3b15b7f44b6ae5dda64b2493579c5b0d00ec4b1,Healthy_21,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/22.wav,22.wav,Healthy,Healthy,NORMAL,17.3551,48000,1,.wav,1666320,c24ffb4761f1b790c420cfae06e8c2e686d8cc5f4eec082a38a60593737b4c65,Healthy_22,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/23.wav,23.wav,Healthy,Healthy,NORMAL,19.182,48000,1,.wav,1841696,3843935fda3fb2370c8223b0d1393e0ee51e6c121c34ed029239f242630ecc06,Healthy_23,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/24.wav,24.wav,Healthy,Healthy,NORMAL,10.9611,48000,1,.wav,1052496,b14d4360e07cde7378f8d666b2f7b4cc34df6797b8a5e5d1974df644f7fcb7a4,Healthy_24,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/25.wav,25.wav,Healthy,Healthy,NORMAL,32.8834,48000,1,.wav,3157032,d6496441dbd40167610ca783a842759b78e33c7196eba7b86e60d900ae7ddde6,Healthy_25,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/26.wav,26.wav,Healthy,Healthy,NORMAL,25.576,48000,1,.wav,2455520,690035ec92318bb50a60f6a8856766f40399ba0d93f1fbb8a55286b48c1cf19e,Healthy_26,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/27.wav,27.wav,Healthy,Healthy,NORMAL,17.3551,48000,1,.wav,1666318,4994207a34b5a6a2deb9b3cfc6af35f96378c61f6d724db0752bccdc403a1ae1,Healthy_27,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/28.wav,28.wav,Healthy,Healthy,NORMAL,25.576,48000,1,.wav,2455520,0a3f8db0fa56b3d94c72a57de3ebd40f9494c5134d0cab9260bf2ba66c8ddedf,Healthy_28,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/29.wav,29.wav,Healthy,Healthy,NORMAL,39.2774,48000,1,.wav,3770856,877c9798b4aacde54b8bb96de4692c72a36a0dcb2bd7bc8975a4a4b930ed12ca,Healthy_29,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/3.wav,3.wav,Healthy,Healthy,NORMAL,27.9726,48000,1,.wav,2685598,9ced41a13279c07bc025ff59ead5c169383c44b95a5c9f057e60d3ed346bb60c,Healthy_3,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/30.wav,30.wav,Healthy,Healthy,NORMAL,11.8746,48000,1,.wav,1140186,d43ed26774bb9094e79ac89f08b72406f2dc4b7ddefbb16071be5c01a6d7556e,Healthy_30,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/31.wav,31.wav,Healthy,Healthy,NORMAL,27.4028,48000,1,.wav,2630898,67a7eb5f1d170087c79a43251219a0b37f30f8dfea96d217195740e1364e3ba7,Healthy_31,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/32.wav,32.wav,Healthy,Healthy,NORMAL,59.3728,48000,1,.wav,5700014,e0040a1619375aa94e45334ee6fcbb1e032f86814b79a34e32c965972a1611f6,Healthy_32,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/33.wav,33.wav,Healthy,Healthy,NORMAL,9.3146,48000,1,.wav,894426,1d20f09e17985dd8d24a9398b0d799550d5e79dd3032b7a6cd70fa98c70058c1,Healthy_33,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/34.wav,34.wav,Healthy,Healthy,NORMAL,69.8667,48000,1,.wav,6707424,a472aca175bcfb16ec512c94de40796cb98cef335b22f275feea4d3f02ac9c48,Healthy_34,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/35.wav,35.wav,Healthy,Healthy,NORMAL,32.6551,48000,1,.wav,3135112,fcd80c939a8c7885aa9f6f5ed981900be0f9294e09aa618c7115bd59a93548b1,Healthy_35,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/36.wav,36.wav,Healthy,Healthy,NORMAL,27.3391,48000,1,.wav,2624782,7665975e79e6c07df9ff5b5f40f09843fce850b0127e4c36ee166682b89c71a7,Healthy_36,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/37.wav,37.wav,Healthy,Healthy,NORMAL,34.9333,48000,1,.wav,3353824,48b685f7f428eae86a21f6c305de2fabc1ac4e6459873352b458ab3a1de997e0,Healthy_37,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/38.wav,38.wav,Healthy,Healthy,NORMAL,15.1884,48000,1,.wav,1458310,d915570d87f44e9a481557d13ccd477d872a094ff7544f2e5e8e6277b43cd495,Healthy_38,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/39.wav,39.wav,Healthy,Healthy,NORMAL,24.3014,48000,1,.wav,2333162,7c57961c5f36491be2e27a07bfa33d36bb48b59cb05782f713da6a4ba2efabe0,Healthy_39,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/4.wav,4.wav,Healthy,Healthy,NORMAL,20.7539,48000,1,.wav,1992600,2da7dc93aa422618ad57c3e6c5af9b800854bdf1f6d081744c4e640b1247e073,Healthy_4,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/40.wav,40.wav,Healthy,Healthy,NORMAL,9.8725,48000,1,.wav,947980,32b8fd959fc36fd9df91a28ed29fd4a618f19a84c67b2b6b46c1b802217f10af,Healthy_40,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/41.wav,41.wav,Healthy,Healthy,NORMAL,10.6319,48000,1,.wav,1020884,11bef34505380296b8b255cbb83d7212cffb12ee29f2fb8f034e57fec75d99e4,Healthy_41,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/42.wav,42.wav,Healthy,Healthy,NORMAL,15.9478,48000,1,.wav,1531214,48a17f5d8f57cffcad6b730987c8c328b152d95ead477e1eb4aa9b19823c59b1,Healthy_42,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/43.wav,43.wav,Healthy,Healthy,NORMAL,41.0087,48000,1,.wav,3937060,9cee0bc379bf33f2ea69a96f4cd11734f46f532a350b829e51425fb8655a2428,Healthy_43,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/44.wav,44.wav,Healthy,Healthy,NORMAL,13.6696,48000,1,.wav,1312502,bd9b6aaf05829dc1e960803389a63e2275427ae1edab573bdd58dfe6c3bce9d6,Healthy_44,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/45.wav,45.wav,Healthy,Healthy,NORMAL,44.0464,48000,1,.wav,4228676,7c7e5b3642f475d89164728e2265cc98a881d1975e55be2a9c2df807647d99b5,Healthy_45,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/46.wav,46.wav,Healthy,Healthy,NORMAL,12.9101,48000,1,.wav,1239598,4630122b69138ed4c3ee563aedbbec3574f333cf2cb1ab958aefd3b976878b5a,Healthy_46,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/47.wav,47.wav,Healthy,Healthy,NORMAL,35.6927,48000,1,.wav,3426728,62ef3acc998c2ec460a08da229bb4ea8622b0f2d5ed4ddd43088d3585c40dc26,Healthy_47,VALID
